"Sygnatura czasowa","Nazwa użytkownika","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)","Jak oceniasz jakość tego obrazu (1-5)"
"2022/06/07 6:15:59 PM EET","badany0_0","5","4","5","3","3","3","2","2","2","1"
"2022/06/07 6:35:29 PM EET","badany0_1","5","5","5","4","4","3","3","3","2","1"
"2022/06/07 6:39:38 PM EET","badany1_0","5","4","4","4","4","4","3","4","3","2"
"2022/06/07 7:05:07 PM EET","badany1_1","5","5","4","4","4","4","3","4","3","2"
"2022/06/07 7:23:07 PM EET","badany1_2","5","5","4","4","4","4","4","4","3","2"
"2022/06/07 7:23:18 PM EET","badany0_2","5","5","4","4","3","4","2","3","2","1"
"2022/06/07 8:27:21 PM EET","badany2_0","5","5","5","4","4","3","3","2","2","1"
"2022/06/07 8:49:43 PM EET","badany2_1","5","4","3","4","3","4","3","2","2","1"
"2022/06/07 9:07:33 PM EET","badany2_2","5","5","4","4","3","3","3","3","2","1"
"2022/06/07 9:12:10 PM EET","badany3_0","5","4","4","3","3","3","2","2","1","1"
"2022/06/07 9:28:10 PM EET","badany3_1","5","4","4","3","4","3","3","3","2","1"
"2022/06/07 9:41:42 PM EET","badany3_2","5","5","5","4","4","4","3","3","2","1"
"2022/06/07 10:30:55 PM EET","badany4_0","5","4","4","3","3","3","3","2","2","1"
"2022/06/07 10:38:27 PM EET","badany5_0","5","5","5","5","4","4","4","3","3","2"
"2022/06/07 10:40:35 PM EET","badany4_1","5","5","5","5","4","4","4","3","3","2"
"2022/06/07 10:48:07 PM EET","badany4_2","5","5","4","3","4","3","2","2","2","1"
"2022/06/07 10:51:43 PM EET","badany5_1","5","5","4","4","4","4","3","3","2","1"
"2022/06/07 11:01:03 PM EET","badany5_2","5","5","5","5","4","5","4","3","3","1"
"2022/06/07 11:21:08 PM EET","badany6_0","5","5","5","5","3","3","4","3","2","1"
"2022/06/07 11:45:25 PM EET","badany6_1","5","5","4","4","3","3","3","3","2","1"
"2022/06/07 11:54:29 PM EET","badany6_2","5","5","5","4","3","4","3","3","2","1"
